id,name,platform
CR001,Advanced SQL,LearningHub
CR002,Machine Learning Fundamentals,LearningHub
CR003,Deep Learning with Python,LearningHub
CR004,Generative AI with LangChain,LearningHub
CR005,Power BI for Data Analytics,LearningHub
CR006,Computer Vision with OpenCV,LearningHub
CR007,Advanced Excel for Data Analysis,LearningHub
CR008,Python for Data Science,LearningHub
CR009,NLP with Python,LearningHub
CR010,TensorFlow Deep Learning,LearningHub
CR011,Data Visualization with Power BI,LearningHub
CR012,Data Engineering Fundamentals,LearningHub
